utterance,intent
What's the weather like today?,Weather_Get_forecast
Tell me the forecast for New York.,Weather_Get_forecast
Will it rain tomorrow?,Weather_Get_forecast
How hot is it going to be this afternoon?,Weather_Get_forecast
Do I need to bring a jacket?,Weather_Get_forecast
Is it sunny outside right now?,Weather_Get_forecast
Give me the weather report for the weekend.,Weather_Get_forecast
What's the temperature in Celsius?,Weather_Get_forecast
Should I pack an umbrella for my trip?,Weather_Get_forecast
Show me the weather.,Weather_Get_forecast
How windy will it be later?,Weather_Get_forecast
Is there any snow in the forecast?,Weather_Get_forecast
What's the UV index today?,Weather_Get_forecast
Is it t-shirt weather?,Weather_Get_forecast
Tell me the air quality.,Weather_Get_forecast
What's the high and low for today?,Weather_Get_forecast
Will it be foggy in the morning?,Weather_Get_forecast
Show me the 10-day forecast.,Weather_Get_forecast
What is the chance of precipitation?,Weather_Get_forecast
Is there a weather advisory?,Weather_Get_forecast
What's the humidity level?,Weather_Get_forecast
How cold will it be tonight?,Weather_Get_forecast
"I'm going to the beach, what's the weather?",Weather_Get_forecast
Current weather conditions please.,Weather_Get_forecast
What's the wind speed?,Weather_Get_forecast
Is it going to be clear skies tonight?,Weather_Get_forecast
Tell me about the weather for the next few hours.,Weather_Get_forecast
What time is sunrise?,Weather_Get_forecast
Will there be a frost tonight?,Weather_Get_forecast
Do I need sunscreen today?,Weather_Get_forecast
Is it stormy?,Weather_Get_forecast
What's the temperature in London?,Weather_Get_forecast
Is a storm coming?,Weather_Get_forecast
Provide the weather details for my current location.,Weather_Get_forecast
"I have a flight tomorrow, what's the weather at the airport?",Weather_Get_forecast
Show me the hourly weather breakdown.,Weather_Get_forecast
Is it a good day for a picnic?,Weather_Get_forecast
What's the feels like temperature?,Weather_Get_forecast
Can you give me the full weather report?,Weather_Get_forecast
Is it going to get colder?,Weather_Get_forecast
Set a timer for 10 minutes.,Clock_Set_timer
Timer for 5 minutes please.,Clock_Set_timer
Can you start a one-hour timer?,Clock_Set_timer
I need a countdown for 45 seconds.,Clock_Set_timer
Begin a timer for 20 minutes.,Clock_Set_timer
Set a 15-minute timer for the pizza.,Clock_Set_timer
Hey start a 30-minute timer.,Clock_Set_timer
Put on a timer for two and a half minutes.,Clock_Set_timer
Countdown from 5 minutes.,Clock_Set_timer
Set an alarm for 18 minutes from now.,Clock_Set_timer
I need to time something for 3 minutes.,Clock_Set_timer
Just a quick 60-second timer.,Clock_Set_timer
Start a countdown for 90 seconds.,Clock_Set_timer
Give me a 25 minute timer.,Clock_Set_timer
Timer for one hour and thirty minutes.,Clock_Set_timer
Set a timer for laundry.,Clock_Set_timer
How much time is left on my timer?,Clock_Set_timer
Cancel the timer.,Clock_Set_timer
Set a timer for 7 minutes.,Clock_Set_timer
I need a timer for 12 minutes.,Clock_Set_timer
Start the timer.,Clock_Set_timer
Can you set multiple timers?,Clock_Set_timer
"Set a timer called 'Pasta' for 8 minutes.",Clock_Set_timer
Pause the timer.,Clock_Set_timer
Resume the timer.,Clock_Set_timer
Set a 4 minute timer for my tea.,Clock_Set_timer
Start a 50 second countdown.,Clock_Set_timer
"I need a two-hour timer for the roast.",Clock_Set_timer
Is there a timer running?,Clock_Set_timer
Set a timer for 35 minutes.,Clock_Set_timer
Give me a 3 minute and 30 second timer.,Clock_Set_timer
"Start a timer for the kids' screen time.",Clock_Set_timer
Let me know in 15 minutes.,Clock_Set_timer
Set a recurring timer for every 30 minutes.,Clock_Set_timer
Show me my timers.,Clock_Set_timer
Time me for one minute.,Clock_Set_timer
Start a 10 second countdown now.,Clock_Set_timer
Can you run a timer in the background?,Clock_Set_timer
I need a timer for 22 minutes.,Clock_Set_timer
Take me to 1 Infinite Loop Cupertino.,Maps_Set_destination
Navigate to the nearest coffee shop.,Maps_Set_destination
Give me directions to the airport.,Maps_Set_destination
How do I get home from here?,Maps_Set_destination
Find a route to the San Francisco Public Library.,Maps_Set_destination
Start a trip to my office.,Maps_Set_destination
Can you show me the way to the Golden Gate Bridge?,Maps_Set_destination
I need to go to the grocery store.,Maps_Set_destination
Map a route to 221B Baker Street.,Maps_Set_destination
Get me to the Central Park Zoo.,Maps_Set_destination
What's the best way to get to the museum?,Maps_Set_destination
I need directions to my mom's house.,Maps_Set_destination
Navigate to the nearest gas station.,Maps_Set_destination
Show me the route to downtown.,Maps_Set_destination
Directions to the closest hospital.,Maps_Set_destination
How long will it take to drive to Los Angeles?,Maps_Set_destination
Find a path to the nearest park.,Maps_Set_destination
"Can you get me directions to 'The French Laundry'?",Maps_Set_destination
I want to walk to the library.,Maps_Set_destination
Navigate home avoiding tolls.,Maps_Set_destination
What's the traffic like on the way to work?,Maps_Set_destination
Find a bike route to the beach.,Maps_Set_destination
Show me public transit directions to the stadium.,Maps_Set_destination
Add a stop at a gas station on my way.,Maps_Set_destination
Start navigation.,Maps_Set_destination
Where am I?,Maps_Set_destination
Share my ETA with Sarah.,Maps_Set_destination
Find a route with no highways.,Maps_Set_destination
Can you find a charging station for my car?,Maps_Set_destination
How do I get to the city center?,Maps_Set_destination
I need to drive to my next appointment.,Maps_Set_destination
Start my commute.,Maps_Set_destination
Navigate to the address on my clipboard.,Maps_Set_destination
Take me to the nearest Italian restaurant.,Maps_Set_destination
End navigation.,Maps_Set_destination
Can you find a parking lot near the theater?,Maps_Set_destination
How far is it to the next rest stop?,Maps_Set_destination
I need directions to this address: 1600 Amphitheatre Parkway.,Maps_Set_destination
What's my estimated time of arrival?,Maps_Set_destination
Schedule a meeting with David for tomorrow at 10 AM.,Calendar_Set_event
"Add an event to my calendar called ""Project Kickoff"".",Calendar_Set_event
Create an appointment for a haircut on Friday at 4 PM.,Calendar_Set_event
"Put ""Dentist Appointment"" on my calendar for June 5th at 2:30 PM.",Calendar_Set_event
I have a doctor's visit next Tuesday morning.,Calendar_Set_event
Block out my calendar for a team lunch this Wednesday at noon.,Calendar_Set_event
"Can you schedule a ""Quarterly Review"" for the end of the month?",Calendar_Set_event
"New event: Coffee with Maria at the downtown cafe.",Calendar_Set_event
"Add ""Pick up dry cleaning"" to my schedule for 5 PM today.",Calendar_Set_event
I need to remember a call with the client on Monday.,Calendar_Set_event
Set up a team sync for this afternoon.,Calendar_Set_event
Make an event for my anniversary on the 18th.,Calendar_Set_event
"Schedule a recurring meeting every Tuesday at 9am called 'Standup'.",Calendar_Set_event
"Put 'Parent-Teacher Conference' on my calendar for next Thursday at 6pm.",Calendar_Set_event
I have a flight to catch on the 3rd of next month.,Calendar_Set_event
"Add 'Gym Session' to my calendar for 7am tomorrow.",Calendar_Set_event
"Create a new event, title 'Movie Night', this Saturday.",Calendar_Set_event
"Block off my entire day next Friday for a workshop.",Calendar_Set_event
I need to schedule a one-on-one with my manager.,Calendar_Set_event
"Add a calendar entry for my vacation from the 10th to the 15th.",Calendar_Set_event
